Naziv,Adresa,Mjesto,ePosta,Telefon,Zupanija,PostanskiBroj
"Dječji vrtić ""Bubamara""",Braće Radića 140,Našice,ivan.mihalj8@gmail.com,031/614-040,Osječko-baranjska županija ,31500
"Dječji vrtić ""Potočnica""- jaslice",J.J.Strossmayera 82,Našice,jaslice.potocnica@gmail.com,095/876-4899,Osječko-baranjska županija ,31500
"Program predškolskog odgoja pri Prosvjetno-kulturnom centaru Mađara u Republici Hrvatskoj - DV ""Bobita""",Drinska 12a,Osijek,hmomk@pkcm.hr,"031/274-340, 274 - 339",Osječko-baranjska županija ,31000
Dječji vrtić Mali princ,Dunavska 86,Osijek,maliprinc031@gmail.com,031/658-994,Osječko-baranjska županija ,31000
"Dječji vrtić ""Zvrk""",Katarine Zrinski 11,Đakovo,vrticzvrk@gmail.com,031/822-358,Osječko-baranjska županija ,31400
Dječji vrtić Šibenska maslina,Ulica branitelja Domovinskog rata 2G,Šibenik,djecji.vrtic@dv-simaslina.com,022/332-324,Šibensko-kninska županija ,22000
"Dječji vrtić ""Drniš""",Antuna Mihanovića 2,Drniš,dv.drnis@si.t-com.hr,022/886-303,Šibensko-kninska županija ,22320
"Dječji vrtić ""Cvrčak"" Knin",Ul. kraljice Jelene 3,Knin,ravnateljica@dvcvrcak.hr,"022/663-720,  022/663-118",Šibensko-kninska županija ,22300
Dječji vrtić Tamaris Vodice,Fra Pija Fržopa 2,Vodice,ravnateljicatina@dvtamaris.hr,099/3365599,Šibensko-kninska županija ,22211
Dječji vrtić Spužvica,Put Luke 2b,Tisno,ravnateljica@djecjivrticspuzvica-tisno.hr,022/438-576,Šibensko-kninska županija ,22240
"Dječji vrtić ""Žižula""",Žaborička 3/E,Šibenik,info@zizula.hr; zorana.ivic@zizula.hr,022/333-193 ;  098/1790854,Šibensko-kninska županija ,22000
"Dječji vrtić ""Osmijeh""",Josipa Jelačića 13F  (sjedište: Ul. Martina Kolunića 2a),Šibenik,djecji.vrtic.osmijeh@si.t-com.hr,022/333-036,Šibensko-kninska županija ,22000
Dječji vrtić Sunce,Gomljanik 41,Brodarica,info@vrtic-sunce.hr,022/351171,Šibensko-kninska županija ,22000
Program predškole pri OŠ Kistanje,Dr. Franje Tuđmana 80,Kistanje,ured@os-kistanje.skole.hr; smstrucic@gmail.com,"022/ 763 600, 091/957-5546",Šibensko-kninska županija ,22300
Dječji vrtić Vinkovci,J. J. Strossmayera 7,Vinkovci,dv.vinkovci@gmail.com,032/304-260 ; 099 40 47 572,Vukovarsko-srijemska  županija ,32100
"Dječji vrtić ""Vukovar I.""",E. Kvaternika 27,Vukovar,tajnistvo@djecjivrticvukovar1.hr ,032/414-709,Vukovarsko-srijemska  županija ,32000
"Dječji vrtić ""Vukovar II""",Alojzija Stepinca 46,Vukovar,ravnateljica@dv-vukovar2.hr,"032/441-288, 032/441-608",Vukovarsko-srijemska  županija ,32000
"Dječji vrtić ""Maslačak""",Franje Račkoga 18b,Županja,info@dvmaslacak.hr,032/831-112,Vukovarsko-srijemska  županija ,32270
"PU ""Vedri dani""",Školska 15,Stari Mikanovci,vrtic.vedridani@vu.t-com.hr,032/210-056,Vukovarsko-srijemska  županija ,32284
Dječji vrtić Ivankovo,Rojičani 85a,Ivankovo,ravnatelj.dvivankovo@gmail.com   ,032/443654   ,Vukovarsko-srijemska  županija ,32281
"DV ""Pupoljak""",Trg kralja Tomislava 3,Otok,vrtic@pu-pupoljak.hr,"032/200-459, 554-284",Vukovarsko-srijemska  županija ,32252
"Dječji vrtić ""Vrtuljak""",Ulica breza 2,Nuštar,vrtuljak5@gmail.com,032/386-007,Vukovarsko-srijemska  županija ,32221
"Dječji vrtić ""Crvenkapica""",Trg sv. I. Kapistran,Ilok, ravnateljica@dv-crvenkapica-ilok.hr,032/591-019,Vukovarsko-srijemska  županija ,32236
"Dječji vrtić ""Kolijevka""",Izidora Kršnjavog 15,Vinkovci,d.v.kolijevka@gmail.com,0958138771,Vukovarsko-srijemska  županija ,32100
Dječji vrtić Zlatokosa Borovo,Nikole Tesle bb,Borovo,djecji.vrtic.zlatokosa@vu.t-com.hr,032/439-542,Vukovarsko-srijemska  županija ,32227
Program predškolskog odgoja pri OŠ Negoslavci,Petrovačka 2,Negoslavci,ured@os-negoslavci.skole.hr,032/517-977,Vukovarsko-srijemska  županija ,32000
"Dječji vrtić ""Liliput-Trpinja""",Mitrovićeva 12A,Bobota,liliput-trpinja032@net.hr,032/560-128,Vukovarsko-srijemska  županija ,32224
"Dječji vrtić ""Eden""",Ervenička 1,Vinkovci,kdv.eden@gmail.com,"098/922-2055, 032/364-232",Vukovarsko-srijemska  županija ,32100
"Dječji vrtić ""Trnoružica""",Lipa 12,Vinkovci,turicdragana@gmail.com ; dvtrnoruzicavk@gmail.com,032/354-318,Vukovarsko-srijemska  županija ,32100
Program predškole pri OŠ Ivana Filipovića,Ante Starčevića 1,Račinovci,ured@os-ifilipovic-racinovci.skole.hr,032/876-001,Vukovarsko-srijemska  županija ,32262
Program predškole pri OŠ „Franjo Hanaman“ ,ISTREV 2,Drenovci,  ured@os-fhanaman-drenovci.skole.hr; bruno.bilic1@skole.hr,032862834,Vukovarsko-srijemska  županija ,32260
Program predškole pri OŠ Davorina Trstenjaka,Matije Gupca 160,Posavski Podgajci,ured@os-dtrstenjak-podgajci-posavski.skole.hr,032/867-005,Vukovarsko-srijemska  županija ,32258
Program predškole pri OŠ Mara Švel - Gamiršek,Matije Gupca 23,Vrbanja,ured@os-msgamirsek-vrbanja.skole.hr,032/864-993,Vukovarsko-srijemska  županija ,32254
Kraći program rada - igraonica pri udruzi Društvu Naša djeca,Alojzija Stepinca 48,Vukovar,drustvo-nasa-djeca@vk.t-com.hr,032/442-202,Vukovarsko-srijemska  županija ,32000
Program predškole pri OŠ Josip Kozarac Soljani,Tomislavova 5a,Soljani,ured@os-jkozarac-soljani.skole.hr,032/865-018,Vukovarsko-srijemska  županija ,32255
Program predškolskog odgoja pri OŠ F. B. T. Leakovića,Braće Radića 38a,Bošnjaci,ured@os-btleakovica-bosnjaci.skole.hr,032/845-502,Vukovarsko-srijemska  županija ,32270
"Dječji vrtić ""Osmijeh""",Bogoslava Šuleka 10,Bjelovar,djecjivrticosmijehbj@gmail.com,043/492-123,Bjelovarsko-bilogorska županija ,43000
"Dječji vrtić ""Radost""",Hercegovačka 22,Split,dv_radost@vrtic-radost.hr,021/541 170,Splitsko-dalmatinska županija ,21000
"Dječji vrtić ""Grigor Vitez""",Kliška 4,Split,vrtic@dv-grigorvitez.hr,021/360005,Splitsko-dalmatinska županija ,21000
"Dječji vrtić ""Marjan""",Put Sv. Mande 11,Split,dv-marjan@st.t-com.hr,021/396-275; 396 276,Splitsko-dalmatinska županija ,21000
"Dječji vrtić ""Cvrčak""",Stjepana Radića 42,Solin,info@djecjivrtic-cvrcaksolin.hr,021/213-309 ; 091/438-1000,Splitsko-dalmatinska županija ,21210
"Dječji vrtić ""Kaštela""",Ulica Birnja 13,Kaštel Stari,vrtic.kastel@inet.hr; ravnateljica@dv-kastela.hr,021/225-480; 224-739,Splitsko-dalmatinska županija ,21217
"Dječji vrtić ""Trogir""",Cesta Plano 70,Plano,tajnistvo@vrtic-trogir.hr; ravnateljica@vrtic-trogir.hr,021/582-581,Splitsko-dalmatinska županija ,21220
Dječji vrtić MARINA,Pozorac 4,Marina,kontakt@djecji-vrtic-marina.hr,021/282-525,Splitsko-dalmatinska županija ,21222
"Dječji vrtić ""Omiš""",Četvrt vrilo 1,Omiš,dvomis@vrtic-omis.hr,021/862-603,Splitsko-dalmatinska županija ,21310
"Dječji vrtić ""Bili Cvitak""",Ante Konstantina Matasa 8,Sinj,djecji.vrtic.bili.cvitak.sinj@st.t-com.hr,021/825-617,Splitsko-dalmatinska županija ,21230
"Dječji vrtić ""Žabica""",Trg Franje Tuđmana 4,Otok,djecji.vrtic.zabica.otok@st.t-com.hr,021/834-977,Splitsko-dalmatinska županija ,21238
"Dječji vrtić ""Imotski""",Ulica Fra Stjepana Vrljića 15,Imotski,djecji.vrtic.imotski@st.t-com.hr,021/843-310,Splitsko-dalmatinska županija ,21260
Program predškolskog odgoja pri OŠ Zagvozd,Trg Zabiokovskih junaka Domovinskog rata 4,Zagvozd,ravnatelj@os-zagvozd.skole.hr,021/847-015,Splitsko-dalmatinska županija ,21270
"Dječji vrtić ""Loptica""",Brune Bušića bb,Imotski,dvrticloptica@gmail.com,021/842-300,Splitsko-dalmatinska županija ,21260
"Dječji vrtić ""Mrvica""",Petra Jakšića 3,Supetar,djecji.vrtic.mrvica@st.t-com.hr,021/630-080,Splitsko-dalmatinska županija ,21400
"Dječji vrtić ""Selca""",Šetalište Rajka Štambuka 5,Selca,ravnateljica@djecjivrticselca.hr,021/622-102,Splitsko-dalmatinska županija ,21425
"Dječji vrtić ""Pučišća""",Park hrvatskih branitelja 1,Pučišća,pucisca.vrtic@gmail.com,021/633-391,Splitsko-dalmatinska županija ,21412
"Dječji vrtić ""Vanđela Božitković""",Ul. Hanibala Lucića 3,Hvar,ravnateljica.vrtichvar@gmail.com,021/742-833    021/741-837,Splitsko-dalmatinska županija ,21450
"Dječji vrtić ""Sardelice""",Pape Ivana Pavla II ,Stari Grad, djecji.vrtic.sardelice@st.t-com.hr,021/765-118,Splitsko-dalmatinska županija ,21460
"Dječji vrtić ""Jelsa""",Jelsa 194,Jelsa,djecji.vrtic.jelsa@st.t-com.hr,021/761-266,Splitsko-dalmatinska županija ,21465
"Dječji vrtić ""Komiža""",Gornji put 16,Komiža,dv-komiza@st.t-com.hr,021/713-035,Splitsko-dalmatinska županija ,21485
"Dječji vrtić ""Biokovsko zvonce""",Molizanskih Hrvata 2,Makarska,"ravnatelj@dv-biokovskozvonce.hr, ravnatelj.zvonce@gmail.com","021/690-444,021/691-014",Splitsko-dalmatinska županija ,21300
"Dječji vrtić ""Ježić""",Podspiline 2,Baška Voda,djecji.vrtic.jezic.baska.voda@st.t-com.hr,021/620 444,Splitsko-dalmatinska županija ,21320
"Dječji vrtić ""Anđeo čuvar""",Svetog Jurja 1B,Brela,antonija.ivanac@gmail.com,021/ 266 196,Splitsko-dalmatinska županija ,21320
"Dječji vrtić ""Gradac""",Jadranska cesta 107a,Gradac,dvgradac@gmail.com,021/697-520,Splitsko-dalmatinska županija ,21334
"Dječji vrtić ""Morski Konjić""",Put sv. Vicenca 1,Podgora,info@dv-morskikonjic.hr,021/625-622,Splitsko-dalmatinska županija ,21327
"DV ""Milna""",Milna bb,Milna,dv.milna@gmail.com,021/636-115,Splitsko-dalmatinska županija ,21405
"Dječji vrtić ""Babarin""",Hrvatskih branitelja 4,Sutivan,dvbabarin@gmail.com,021/638-470,Splitsko-dalmatinska županija ,21400
"Dječji vrtić ""Grdelin""",Polježice 4,Postira,dv.grdelin@gmail.com,021/632-775,Splitsko-dalmatinska županija ,21410
"Dječji vrtić ""Mali Princ""",Uz pjacu 17,Bol,info@maliprinc.com.hr,021/635 357,Splitsko-dalmatinska županija ,21420
"Dječji vrtić ""Pčelica""",Matice hrvatske 13,Vrgorac,pcelica5555@gmail.com,021/674-228,Splitsko-dalmatinska županija ,21276
"Dječji vrtić ""Montessori Dječja kuća""",Viška ulica 7,Split,montessori.djecja.kuca.split@gmail.com,091/4423321,Splitsko-dalmatinska županija ,21000
"Dječji vrtić ""Disneyland""",Pujanke 22,Split,ivanka_vukorepa0507@net.hr,098274207,Splitsko-dalmatinska županija ,21000
"Dječji vrtić ""Calimero""",Vrazova 31,Split,vrtic@dv-calimero.hr,021/473-730,Splitsko-dalmatinska županija ,21000
"Dječji vrtić ""Duga""",Put Skalica 47,Split,brankica.padovan@gmail.com,021/207-081,Splitsko-dalmatinska županija ,21000
"DV ""Princeza""",Ul. Ivana Kukuljevića Sakcinskog 5,Split,djecji.vrtic.princeza@gmail.com,021/567-234,Splitsko-dalmatinska županija ,21000
"Dječji vrtić ""Kremenko""",Put Svetog Lovre 20,Split,info@kremenkovrtic.hr,021/320-689,Splitsko-dalmatinska županija ,21000
"Dječji vrtić ""Čarobni Pianino"" ",Ulica 141. brigade hrvatske vojske 37,Split,dv.carobnipianino@gmail.com,091/3956741,Splitsko-dalmatinska županija ,21000
"Dječji vrtić ""Veseli kutak""",Klanci 1,Stobreč,"dvveselikutak@gmail.com, zlatkogale@gmail.com, antonela.pjevac@gmail.com",021/326-200,Splitsko-dalmatinska županija ,21311
"Dječji vrtić ""Antonija""",Cetinska 17,Stobreč,dvantonija@hotmail.com,021/325-454,Splitsko-dalmatinska županija ,21311
"Dječji vrtić ""Hugo""",Ulica baruna Franje Trenka 39,Split,djecjivrtichugo@hotmail.com   marijaguc99@gmail.com,0989598996,Splitsko-dalmatinska županija ,21000
